Dzongkhag,dzongkhagCode,gewog/thromde,gewog/thromde code,chiwog/lap,chiwogLapCode,eaCode,EA Description,hhCount
Trashigang,15,Shongphu,12,Galing,4,2,starting from Drongman village above farm road first household  (Tenzin Thinley ) till Duwang village last household (naku) below changmi  to galing farm road near mani dungkor.,53
Trashigang,15,Thrimshing,13,Berdoongma_Thoongkhar,1,2,Starting from below Thoongkar lhakhang and ending at last house near the road.,42
Trashigang,15,Udzorong,14,Barkazor_Maenkhar,2,1,,90
Trashigang,15,Udzorong,14,Rizor_Yerchhilo,5,4,it starts from gongtsire including Mochangri and ended at Monka.,51
Trashigang,15,Yangnyer,15,Shokang_ Tegtegpa,5,2,starting from TD canteen below mani dungkor and school main gate opposite to middle school football ground including gongzor lhakhang and it ends at kuenzang choden house top of tegtegpa village,50
Trongsa,17,Draagteng,1,Samling Khamaed,2,1,"Starting from Ogyen Tshugla Monastery Area, East Samocholing community school and above Trongsa Sarpang highway and ending at Samcholing koshala highway junction .",61
Trongsa,17,Draagteng,1,Tagtse_Tashidingkha,4,4,"Starting from Dessup Training Center, Dzongkalum, Dam Colony and PWD camp ( Below highway)",91
Trongsa,17,Korphu,2,Korphu Toed,2,1,,31
Trongsa,17,Langthil,3,Dhangdoong,2,2,"starting from BOD, dangdong village, workshop area above trongsa gelephu high way till Taktsela.",91
Trongsa,17,Langthil,3,Jangbi,3,1,,79
Trongsa,17,Nubi,4,Bemji_Chela,2,1,,83
Trongsa,17,Tangsibji,5,Kela,2,1,,47
Trongsa,17,Tangsibji,5,Tangsibji,4,1,Starting from forest park office till menchusa village,57
Tsirang,18,Barshong,1,Barshong Maed,1,1,,48
Tsirang,18,Doonglagang,2,Dangreybu Maed,1,1,,58
Tsirang,18,Doonglagang,2,Norjangsa,5,1,,65
Tsirang,18,Gosarling,3,Dzamlingthang,1,1,,74
Tsirang,18,Gosarling,3,Phuensoomgang,5,1,,60
Tsirang,18,Kilkhorthang,4,Maenchhana,2,1,South- Sukay Pokhori. North- Mithun Tar. East- Dratshang Dara. West- Custom Kholtsha.,60
Tsirang,18,Mendrelgang,5,Dzamling Zor,1,1,,41
Tsirang,18,Patshaling,6,Patshaling Toed,4,1,,42
Tsirang,18,Pungtenchhu,7,Peljorling,3,1,,89
Tsirang,18,Rangthangling,8,Charingma_Rangthangling,1,1,,80
Tsirang,18,Sergithang,10,Norboogang,1,1,,56
Tsirang,18,Tsholingkhar,11,Droobchhugang,1,2,"East:Lower Harpay Khola,West:Lower Batasay Dara,North :Straight and  Lower of RNR office,South:Above of Straight of Chura Muni Adhikari house stand.",81
Wangdue Phodrang,19,Bjenag,2,Wachhey,5,1,,75
Wangdue Phodrang,19,Darkar,4,Kameychhu_Uma Khamaed,2,1,starting from the south of jarogang village(pawan restaurant) till darkar gweog administration,39
Wangdue Phodrang,19,Gangteng,5,Gorgoen,2,1,,44
Wangdue Phodrang,19,Gase Tshogongm,6,Dabchhaykha_Matshigkha,3,4,building G14 till G24,24
Wangdue Phodrang,19,Gase Tshogongm,6,Dabchhaykha_Matshigkha,3,10,phpa1,19
Wangdue Phodrang,19,Kazhi,8,Lengbi,5,1,starting from kathok baylangdra monastry till the end of lengbi village (Damchu thang),51
Wangdue Phodrang,19,Nahi,9,Haebisa,1,1,,26
Wangdue Phodrang,19,Phangyuel,11,Chhungserkha_Dhomkha,2,1,,42
Wangdue Phodrang,19,Phobji,12,Drangpa_Pangsar,3,1,,40
Wangdue Phodrang,19,Ruebisa,13,Gyala,3,1,,99
Wangdue Phodrang,19,Saephu,14,Booso_Zeri,2,1,covering busa village n seaphu primary school,46
Wangdue Phodrang,19,Thedtsho,15,Rinchhengang Toed,3,1,"starting from bpc colony , dzongda residence till nala workshop",26
